id_form,id_unique,gdlcode,iso_country_code,village,log_hh_size,education_cleaned,log_livestock_tlu,log_land_cultivated,off_farm_any,till_not_by_hand,external_labour,pesticide,debts_have,aidreceived,livestock_inputs_any,land_irrigated_any,log_tva,norm_hdds_lean_season,norm_growing_period,log_min_travel_time,kg_class_name,log_pop_dens,norm_gdl_country_shdi,norm_gdl_county_shdi
bf_ecd_2021,bf_ecd_2021_818_1,BFAr102,BF,BFAr102_banfora,1.1171509232714032,pre_primary,0.8224484562125071,0.8099552103887144,0,1,1,0,1,0,1,1,0.9223013415589668,1.4583266675539517,-0.6926121175989303,0.6347117736112616,"Tropical, savannah",0.00561023905678959,-1.0661550263984223,-0.7380663395886743
bf_ecd_2021,bf_ecd_2021_902_1,BFAr101,BF,BFAr101_tougan,1.302827645011062,pre_primary,0.49764043811494174,0.6734454519225684,0,1,0,0,0,1,1,0,0.3281939586112767,1.062186944701462,-1.1041645894464287,0.5306963585761939,"Arid, steppe, hot",-1.0217539495112944,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_353_1,BFAr101,BF,BFAr101_tougan,0.6361374419164585,pre_primary,0.4280008665235867,0.24940741164556596,0,1,0,1,0,0,1,0,0.6163919977693635,1.062186944701462,-1.1041645894464287,-0.01636018151852644,"Arid, steppe, hot",-1.114801193291422,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_1020_1,BFAr102,BF,BFAr102_banfora,0.22220010829110945,pre_primary,-0.1941454324889488,0.07341572380989722,0,1,1,0,0,0,1,1,2.138784401052058,0.6660472218489722,-0.7820800462614309,0.20130889290425763,"Tropical, savannah",-0.2501561068020072,-1.0661550263984223,-0.7380663395886743
bf_ecd_2021,bf_ecd_2021_780_1,BFAr101,BF,BFAr101_dî,0.22220010829110945,pre_primary,-2.3169568820619793,-0.598668668908439,0,1,0,0,1,0,0,1,1.1777263638425868,-0.1262322238560073,-1.1757389323764285,-0.02478905508904251,"Arid, steppe, hot",-1.114801173877809,-1.0661550263984223,-1.258546843679131
et_ari_2018,et_ari_2018_727_1,ETHr101,ET,ETHr101_emba hazti,0.8894029454389716,pre_primary,0.6067873896929459,-0.46215891044229296,0,1,0,0,0,0,1,1,0.22898069729062548,0.6660472218489722,-0.4063147458789328,-1.727900376893276,"Temperate, dry winter, warm summer",0.04978807232953342,-0.5396057809090041,-0.05648472708926751
bf_ecd_2021,bf_ecd_2021_873_1,BFAr101,BF,BFAr101_dî,-0.8636368731692624,pre_primary,-2.3169568820619793,-0.17463062863143647,0,1,1,0,0,0,0,1,0.7819473948105757,-0.5223719467084971,-1.1757389323764285,-0.02478905508904251,"Arid, steppe, hot",-1.114801173877809,-1.0661550263984223,-1.258546843679131
bi_snv_2019,bi_snv_2019_360_1,BDIr104,BI,BDIr104_kiziba,0.8373509305857393,pre_primary,0.4329845498963672,1.3705030091318628,0,0,0,0,1,0,1,1,-0.6511272614807105,0.2699074989964825,1.0430656984535605,-0.27251598773723895,"Temperate, dry winter, warm summer",1.1125905550417576,-1.3031021868686608,-0.45304130163437734
bi_snv_2019,bi_snv_2019_209_1,BDIr102,BI,BDIr102_murambi,0.4376752747660105,pre_primary,0.13622824427384497,-0.46215891044229296,0,0,0,0,0,0,1,0,-1.3007185599462556,-0.5223719467084971,0.7567683267335619,-0.5022176546561108,"Tropical, savannah",0.8732932635549593,-1.3031021868686608,-0.6513195889069315
bf_ecd_2021,bf_ecd_2021_1192_1,BFAr101,BF,BFAr101_tougan,1.0651478792433198,pre_primary,0.6474521814421802,0.8099552103887144,1,1,1,0,1,0,1,0,-0.3998701102979804,0.2699074989964825,-1.050483832248929,0.7327250450121165,"Arid, steppe, hot",-1.1058741216151509,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_1143_1,BFAr101,BF,BFAr101_tougan,0.9826966654776436,pre_primary,0.44488448897147015,0.24940741164556596,0,1,0,0,0,1,1,0,0.1281809173205394,0.6660472218489722,-1.1041645894464287,0.5306963585761939,"Arid, steppe, hot",-1.0217539495112944,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_34_1,BFAr101,BF,BFAr101_dî,0.7965680023612951,pre_primary,0.3839928558111416,0.4974537640868998,0,0,0,0,0,0,1,0,0.42726410160980793,0.6660472218489722,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_242_1,BFAr102,BF,BFAr102_moussodougou,-1.04163858782211,pre_primary,-2.3169568820619793,0.24940741164556596,0,1,1,0,1,0,0,0,0.34391103009827756,0.6660472218489722,-0.7283992890639311,1.3399495273522026,"Tropical, savannah",-0.9699651375143874,-1.0661550263984223,-0.7380663395886743
bf_ecd_2021,bf_ecd_2021_55_1,BFAr101,BF,BFAr101_dî,0.15743555704235526,pre_primary,-2.3169568820619793,-0.17463062863143647,0,1,1,0,1,1,0,1,2.125088333688443,-0.5223719467084971,-1.1757389323764285,-0.02478905508904251,"Arid, steppe, hot",-1.114801173877809,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_910_1,BFAr101,BF,BFAr101_tougan,-0.1133402051623498,pre_primary,0.09508390723549023,0.24940741164556596,0,0,0,0,0,1,0,0,0.6744705969860842,1.062186944701462,-1.1041645894464287,0.5306963585761939,"Arid, steppe, hot",-1.0217539495112944,-1.0661550263984223,-1.258546843679131
bi_snv_2019,bi_snv_2019_194_1,BDIr102,BI,BDIr102_gikuzi,-1.04163858782211,pre_primary,0.4950250033446432,-0.17463062863143647,0,0,0,0,0,0,1,0,-0.7890159701903922,-1.3146513924134766,1.0251721127210605,-0.7840754948493249,"Temperate, dry winter, warm summer",0.2490179126925897,-1.3031021868686608,-0.6513195889069315
bf_ecd_2021,bf_ecd_2021_9_1,BFAr101,BF,BFAr101_dî,0.01902079297954465,pre_primary,0.41355764492318103,-0.17463062863143647,0,0,0,1,0,0,1,0,0.867391270478078,1.8544663904064416,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
bi_snv_2019,bi_snv_2019_378_1,BDIr104,BI,BDIr104_kiziba,0.652961618647891,pre_primary,0.5454162112434968,0.5224269285778581,0,0,1,0,1,0,1,1,0.948127372917468,0.2699074989964825,1.0430656984535605,-0.27251598773723895,"Temperate, dry winter, warm summer",1.1125905550417576,-1.3031021868686608,-0.45304130163437734
bi_snv_2019,bi_snv_2019_407_1,BDIr104,BI,BDIr104_muyebe,1.0868818715443216,pre_primary,0.6698512596061656,0.9464649688548604,1,0,1,1,1,1,1,1,0.8154031471506759,0.6660472218489722,0.4346837835485635,-0.4866368709497053,"Tropical, savannah",0.8866452109318596,-1.3031021868686608,-0.45304130163437734
bf_ecd_2021,bf_ecd_2021_797_1,BFAr102,BF,BFAr102_moussodougou,-0.01763904885797402,pre_primary,-2.3169568820619793,-0.17463062863143647,0,0,0,1,0,0,0,0,-0.4144951267804163,-0.9185116695609868,-0.7283992890639311,1.3399495273522026,"Tropical, savannah",-0.9699651375143874,-1.0661550263984223,-0.7380663395886743
bi_snv_2019,bi_snv_2019_108_1,BDIr104,BI,BDIr104_mparambo,0.5439884149888241,pre_primary,0.724757172146109,-0.46215891044229296,0,0,1,1,0,0,1,1,0.6824066111276499,1.062186944701462,0.7925554981985617,-2.656452404233284,"Tropical, savannah",0.9598897831987524,-1.3031021868686608,-0.45304130163437734
bf_ecd_2021,bf_ecd_2021_491_1,BFAr101,BF,BFAr101_dî,0.807406541095226,pre_primary,0.4860288260098248,0.4974537640868998,1,0,1,0,0,0,1,0,0.04528927590256632,-0.9185116695609868,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
